ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	4053	2021-07-30 10:16:51.669793059	2021-07-30 10:16:55.723320647	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	689	0	0	3364
cockroach	CockroachDB	client	6332	2021-07-30 10:17:34.790405224	2021-07-30 10:17:41.123218588	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	434	0	0	5898
cratedb	CrateDB	client	5785	2021-07-30 10:18:25.442799883	2021-07-30 10:18:31.228680468	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1597	0	0	4188
cubrid	CUBRID	client	7161	2021-07-30 10:19:02.750914917	2021-07-30 10:19:09.912868406	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	329	0	0	6832
derby	Apache Derby	client	6524	2021-07-30 10:19:51.555719224	2021-07-30 10:19:58.080372485	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	927	0	0	5597
derby_emb	Apache Derby	embedded	6086	2021-07-30 10:19:58.665268018	2021-07-30 10:20:04.751425842	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	865	0	0	5221
exasol	Exasol	client	3633	2021-07-30 10:23:23.421020329	2021-07-30 10:23:27.054040344	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	666	0	0	2967
firebird	Firebird	client	22150	2021-07-30 10:24:17.635059076	2021-07-30 10:24:39.785664238	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	546	0	0	21604
h2	H2 Database Engine	client	5074	2021-07-30 10:25:11.307097469	2021-07-30 10:25:16.381506744	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	392	0	0	4682
h2_emb	H2 Database Engine	embedded	2558	2021-07-30 10:25:16.978173302	2021-07-30 10:25:19.536546984	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	430	0	0	2128
hsqldb	HSQLDB	client	6736	2021-07-30 10:25:51.635869384	2021-07-30 10:25:58.372141972	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	482	0	0	6254
hsqldb_emb	HSQLDB	embedded	2919	2021-07-30 10:25:58.958067963	2021-07-30 10:26:01.877320127	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	381	0	0	2538
