ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	cratedb	CrateDB	43	2020-08-08 06:29:09.828704000	2020-08-08 06:29:53.628439000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
cratedb	cratedb	CrateDB	34	2020-08-08 06:29:54.312712000	2020-08-08 06:30:29.031257000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	15	2020-08-08 06:31:09.246110000	2020-08-08 06:31:24.802272000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	15	2020-08-08 06:31:25.296551000	2020-08-08 06:31:40.598561000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	23	2020-08-08 06:32:35.058291000	2020-08-08 06:32:58.542565000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	20	2020-08-08 06:32:58.994653000	2020-08-08 06:33:19.689242000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	52	2020-08-08 06:33:57.841219000	2020-08-08 06:34:50.047883000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	49	2020-08-08 06:34:50.485342000	2020-08-08 06:35:40.211819000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	13	2020-08-08 06:36:13.466011000	2020-08-08 06:36:27.245559000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	12	2020-08-08 06:36:27.720151000	2020-08-08 06:36:40.226550000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	24	2020-08-08 06:37:14.743313000	2020-08-08 06:37:39.299213000	travis-job-56c4d20b-8ada-4b1c-8599-1164c8551557	2	amd64 / Linux / 5.3.0-1029-gcp
