ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	cratedb	CrateDB	14	2020-08-18 20:35:45.716493000	2020-08-18 20:36:00.001209000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
cratedb	cratedb	CrateDB	9	2020-08-18 20:36:00.729668000	2020-08-18 20:36:10.284759000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	8	2020-08-18 20:36:57.160655000	2020-08-18 20:37:05.725407000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	8	2020-08-18 20:37:06.273375000	2020-08-18 20:37:14.506858000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	18	2020-08-18 20:38:09.561299000	2020-08-18 20:38:28.207688000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	14	2020-08-18 20:38:28.705683000	2020-08-18 20:38:43.559379000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	60	2020-08-18 20:39:22.359914000	2020-08-18 20:40:23.330248000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	58	2020-08-18 20:40:23.815021000	2020-08-18 20:41:22.610384000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	8	2020-08-18 20:41:56.184948000	2020-08-18 20:42:04.926369000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	9	2020-08-18 20:42:05.426564000	2020-08-18 20:42:14.712725000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	16	2020-08-18 20:42:49.761570000	2020-08-18 20:43:05.851924000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	15	2020-08-18 20:43:06.824576000	2020-08-18 20:43:22.799677000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	ibmdb2	IBM Db2 Database	17	2020-08-18 20:49:45.639146000	2020-08-18 20:50:03.254153000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	ibmdb2	IBM Db2 Database	12	2020-08-18 20:50:03.868009000	2020-08-18 20:50:16.489770000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
informix	informix	IBM Informix	14	2020-08-18 20:54:37.171145000	2020-08-18 20:54:51.742274000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
informix	informix	IBM Informix	33	2020-08-18 20:54:52.312413000	2020-08-18 20:55:25.378854000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	mariadb	MariaDB Server	6	2020-08-18 20:56:09.236136000	2020-08-18 20:56:15.324717000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	mariadb	MariaDB Server	6	2020-08-18 20:56:15.783640000	2020-08-18 20:56:21.980735000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	mimer	Mimer SQL	42	2020-08-18 20:57:06.831980000	2020-08-18 20:57:49.535132000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	mimer	Mimer SQL	42	2020-08-18 20:57:49.995716000	2020-08-18 20:58:32.340847000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
monetdb	monetdb	MonetDB	34	2020-08-18 20:58:56.106974000	2020-08-18 20:59:30.614825000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
monetdb	monetdb	MonetDB	36	2020-08-18 20:59:31.122177000	2020-08-18 21:00:07.260207000	travis-job-412f7482-c6c9-4a26-8abf-daee4a35ea19	2	amd64 / Linux / 5.3.0-1029-gcp
