ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
agens	AgensGraph	v3.0.3	bash	client	active	company	3915	2021-09-10 12:07:06.684004900	2021-09-10 12:07:10.599423000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
cockroach	CockroachDB	v3.0.3	bash	client	active - no choice	company	5619	2021-09-10 12:07:43.720566400	2021-09-10 12:07:49.340332600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
cratedb	CrateDB	v3.0.3	bash	client	active - no choice	company	5058	2021-09-10 12:08:22.554199700	2021-09-10 12:08:27.612570500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
cubrid	CUBRID	v3.0.3	bash	client	active	company	5934	2021-09-10 12:09:00.707811100	2021-09-10 12:09:06.642080500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
derby	Apache Derby	v3.0.3	bash	client	active	company	14607	2021-09-10 12:09:49.722213200	2021-09-10 12:10:04.329614000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
derby_emb	Apache Derby	v3.0.3	bash	embedded	active	company	12222	2021-09-10 12:10:05.387776000	2021-09-10 12:10:17.609999900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
exasol	Exasol	v3.0.3	bash	client	active	company	3819	2021-09-10 12:12:21.163399100	2021-09-10 12:12:24.982830100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
firebird	Firebird	v3.0.3	bash	client	active	company	88580	2021-09-10 12:13:10.970181300	2021-09-10 12:14:39.550950500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
h2	H2 Database Engine	v3.0.3	bash	client	active - no choice	company	5882	2021-09-10 12:15:12.639351800	2021-09-10 12:15:18.522266900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
h2_emb	H2 Database Engine	v3.0.3	bash	embedded	active - no choice	company	3413	2021-09-10 12:15:19.599740200	2021-09-10 12:15:23.013379400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
hsqldb	HSQLDB	v3.0.3	bash	client	active	company	17767	2021-09-10 12:15:56.568666700	2021-09-10 12:16:14.336614200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
hsqldb_emb	HSQLDB	v3.0.3	bash	embedded	active	company	2894	2021-09-10 12:16:15.436653600	2021-09-10 12:16:18.330812000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
ibmdb2	IBM Db2 Database	v3.0.3	bash	client	active	company	23164	2021-09-10 12:21:21.333843500	2021-09-10 12:21:44.498361500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
informix	IBM Informix	v3.0.3	bash	client	active	company	14934	2021-09-10 12:25:44.434634900	2021-09-10 12:25:59.368893400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mariadb	MariaDB Server	v3.0.3	bash	client	active	company	3881	2021-09-10 12:26:42.260934400	2021-09-10 12:26:46.142514700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mimer	Mimer SQL	v3.0.3	bash	client	active	company	13368	2021-09-10 12:27:19.505650600	2021-09-10 12:27:32.873986800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
monetdb	MonetDB	v3.0.3	bash	client	active	company	7916	2021-09-10 12:27:40.857860700	2021-09-10 12:27:48.774379000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mysql	MySQL Database	v3.0.3	bash	client	active	company	5995	2021-09-10 12:28:52.804161500	2021-09-10 12:28:58.799296700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mysql_trino	MySQL Database	v3.0.3	bash	trino	active - no choice	company	1999897	2021-09-10 12:30:37.210600400	2021-09-10 13:03:57.107931400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
omnisci	OmniSciDB	v3.0.3	bash	client	active - no choice	company	36638	2021-09-10 13:05:04.035836000	2021-09-10 13:05:40.674192300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
oracle	Oracle Database	v3.0.3	bash	client	active	company	12103	2021-09-10 13:06:54.119187800	2021-09-10 13:07:06.222555500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
oracle_trino	Oracle Database	v3.0.3	bash	trino	active - no choice	company	1589925	2021-09-10 13:08:53.453725200	2021-09-10 13:35:23.379165300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
percona	Percona Server for MySQL	v3.0.3	bash	client	active	company	13039	2021-09-10 13:36:41.664666900	2021-09-10 13:36:54.704382000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
postgresql	PostgreSQL	v3.0.3	bash	client	active	company	4030	2021-09-10 13:37:31.812356800	2021-09-10 13:37:35.842686600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
postgresql_trino	PostgreSQL	v3.0.3	bash	trino	active - no choice	company	522438	2021-09-10 13:38:42.038517600	2021-09-10 13:47:24.477261000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
sqlite	SQLite	v3.0.3	bash	embedded	active - no choice	company	6516	2021-09-10 13:47:25.643879300	2021-09-10 13:47:32.160415600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
sqlserver	MS SQL Server	v3.0.3	bash	client	active	company	4631	2021-09-10 13:48:06.453851100	2021-09-10 13:48:11.085664700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
sqlserver_trino	MS SQL Server	v3.0.3	bash	trino	active - no choice	company	1050856	2021-09-10 13:49:21.666041600	2021-09-10 14:06:52.522501200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
timescale	TimescaleDB	v3.0.3	bash	client	active	company	4094	2021-09-10 14:07:26.486403300	2021-09-10 14:07:30.580694400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
yugabyte	YugabyteDB	v3.0.3	bash	client	active	company	13274	2021-09-10 14:08:25.825286900	2021-09-10 14:08:39.099302500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
agens	AgensGraph	v3.0.3	bash	client	inactive	company	4018	2021-09-10 14:09:11.973072200	2021-09-10 14:09:15.991939600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
cubrid	CUBRID	v3.0.3	bash	client	inactive	company	6320	2021-09-10 14:09:48.873929800	2021-09-10 14:09:55.194799200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
derby	Apache Derby	v3.0.3	bash	client	inactive	company	15617	2021-09-10 14:10:38.406234900	2021-09-10 14:10:54.024103300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
derby_emb	Apache Derby	v3.0.3	bash	embedded	inactive	company	13797	2021-09-10 14:10:55.103184900	2021-09-10 14:11:08.900302500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
exasol	Exasol	v3.0.3	bash	client	inactive	company	3950	2021-09-10 14:13:12.573115800	2021-09-10 14:13:16.523682800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
firebird	Firebird	v3.0.3	bash	client	inactive	company	70636	2021-09-10 14:14:02.657546800	2021-09-10 14:15:13.293550900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
hsqldb	HSQLDB	v3.0.3	bash	client	inactive	company	17986	2021-09-10 14:15:46.385208400	2021-09-10 14:16:04.372156800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
ibmdb2	IBM Db2 Database	v3.0.3	bash	client	inactive	company	25507	2021-09-10 14:21:07.210943600	2021-09-10 14:21:32.718587100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
informix	IBM Informix	v3.0.3	bash	client	inactive	company	15007	2021-09-10 14:25:41.624833400	2021-09-10 14:25:56.631887600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mariadb	MariaDB Server	v3.0.3	bash	client	inactive	company	7312	2021-09-10 14:26:39.523651700	2021-09-10 14:26:46.835919400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mimer	Mimer SQL	v3.0.3	bash	client	inactive	company	13970	2021-09-10 14:27:20.203176300	2021-09-10 14:27:34.173573100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
monetdb	MonetDB	v3.0.3	bash	client	inactive	company	6856	2021-09-10 14:27:42.098512000	2021-09-10 14:27:48.954571000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
mysql	MySQL Database	v3.0.3	bash	client	inactive	company	18638	2021-09-10 14:28:53.054364300	2021-09-10 14:29:11.693074700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
oracle	Oracle Database	v3.0.3	bash	client	inactive	company	15614	2021-09-10 14:30:15.865113000	2021-09-10 14:30:31.480086200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
percona	Percona Server for MySQL	v3.0.3	bash	client	inactive	company	18334	2021-09-10 14:31:40.842177000	2021-09-10 14:31:59.176283200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
