ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
ibmdb2	IBM Db2 Database	client	25385	2021-09-06 16:05:07.685738500	2021-09-06 16:05:33.071517400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4263	911	313	21122
informix	IBM Informix	client	14701	2021-09-06 16:09:42.062052000	2021-09-06 16:09:56.763738500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	2058	48	157	12643
mariadb	MariaDB Server	client	7220	2021-09-06 16:10:39.653670800	2021-09-06 16:10:46.873928400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4049	3333	183	3171
mimer	Mimer SQL	client	13800	2021-09-06 16:11:20.065070100	2021-09-06 16:11:33.865227800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	858	101	267	12942
monetdb	MonetDB	client	6600	2021-09-06 16:11:41.793064400	2021-09-06 16:11:48.394042600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	978	0	116	5622
mysql	MySQL Database	client	18897	2021-09-06 16:12:52.752115200	2021-09-06 16:13:11.649890300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	13738	12764	250	5159
oracle	Oracle Database	client	15334	2021-09-06 16:14:16.338344900	2021-09-06 16:14:31.672716300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4489	126	3365	10845
percona	Percona Server for MySQL	client	18720	2021-09-06 16:15:41.217562700	2021-09-06 16:15:59.938020100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	13281	12185	351	5439
postgresql	PostgreSQL	client	3833	2021-09-06 16:16:34.772546500	2021-09-06 16:16:38.606230700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	746	0	68	3087
sqlserver	MS SQL Server	client	5540	2021-09-06 16:17:11.643443500	2021-09-06 16:17:17.183540900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	2518	235	313	3022
timescale	TimescaleDB	client	3908	2021-09-06 16:17:56.515052600	2021-09-06 16:18:00.423524000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	834	0	75	3074
yugabyte	YugabyteDB	client	13294	2021-09-06 16:18:33.311140300	2021-09-06 16:18:46.605242600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	7001	0	409	6293
