ticker symbol	DBMS	db type	runtime in seconds	start time	end time	host name	no. cores	operating system
mariadb	MariaDB Server	client	4	2020-10-24 04:26:29.020405885	2020-10-24 04:26:33.890498369	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
mariadb	MariaDB Server	client	4	2020-10-24 04:26:34.414236786	2020-10-24 04:26:39.234066746	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
mimer	Mimer SQL	client	23	2020-10-24 04:27:24.280901741	2020-10-24 04:27:47.331614858	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
mimer	Mimer SQL	client	23	2020-10-24 04:27:47.854245941	2020-10-24 04:28:11.678325270	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
monetdb	MonetDB	client	12	2020-10-24 04:28:35.505838553	2020-10-24 04:28:47.975137754	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
monetdb	MonetDB	client	11	2020-10-24 04:28:48.509976038	2020-10-24 04:29:00.322802232	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
mysql	MySQL Database	client	7	2020-10-24 04:30:16.745134402	2020-10-24 04:30:24.700102370	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
mysql	MySQL Database	client	8	2020-10-24 04:30:25.258411985	2020-10-24 04:30:33.522344648	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
oracle	Oracle Database	client	7	2020-10-24 04:41:38.750460477	2020-10-24 04:41:46.603488676	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
oracle	Oracle Database	client	7	2020-10-24 04:41:47.138948270	2020-10-24 04:41:54.360658682	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
percona	Percona Server for MySQL	client	6	2020-10-24 04:43:16.441364271	2020-10-24 04:43:23.108761516	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
percona	Percona Server for MySQL	client	8	2020-10-24 04:43:23.638410408	2020-10-24 04:43:32.083151201	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
postgresql	PostgreSQL Database	client	3	2020-10-24 04:44:11.337245840	2020-10-24 04:44:14.685604616	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
postgresql	PostgreSQL Database	client	3	2020-10-24 04:44:15.212794261	2020-10-24 04:44:18.500604094	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
sqlserver	MS SQL Server	client	5	2020-10-24 04:45:27.848331683	2020-10-24 04:45:33.600229372	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
sqlserver	MS SQL Server	client	5	2020-10-24 04:45:34.130896261	2020-10-24 04:45:39.857627993	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
voltdb	VoltDB	client	16	2020-10-24 04:46:26.394966897	2020-10-24 04:46:42.600265222	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
voltdb	VoltDB	client	13	2020-10-24 04:46:43.627969799	2020-10-24 04:46:56.773839682	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
yugabyte	YugabyteDB	client	14	2020-10-24 04:48:14.193774282	2020-10-24 04:48:28.985761636	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
yugabyte	YugabyteDB	client	16	2020-10-24 04:48:29.552213954	2020-10-24 04:48:45.662584243	travis-job-64758c66-6110-428f-9fd1-9c4ce2af5759	2	amd64 / Linux / 5.4.0-1024-gcp
