ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
derby_emb	derby	Apache Derby [embedded]	15	2020-08-17 02:59:46.700600000	2020-08-17 03:00:02.417070000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	h2	H2 Database Engine [embedded]	4	2020-08-17 03:00:03.023328000	2020-08-17 03:00:07.394721000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	h2	H2 Database Engine [embedded]	5	2020-08-17 03:00:07.902304000	2020-08-17 03:00:12.904456000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	hsqldb	HyperSQL Database [embedded]	15	2020-08-17 03:00:13.483379000	2020-08-17 03:00:28.835819000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	hsqldb	HyperSQL Database [embedded]	17	2020-08-17 03:00:29.318499000	2020-08-17 03:00:47.016898000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
sqlite	sqlite	SQLite	2	2020-08-17 03:00:47.621115000	2020-08-17 03:00:49.622506000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
sqlite	sqlite	SQLite	2	2020-08-17 03:00:50.101548000	2020-08-17 03:00:52.135181000	travis-job-81294655-4704-47b5-9a6d-c6eb8fc8843c	2	amd64 / Linux / 5.3.0-1029-gcp
