ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
derby_emb	Apache Derby	embedded	23	2020-09-29 03:17:03.139464880	2020-09-29 03:17:26.416331782	travis-job-da5d53ac-4753-40f1-80ff-95da07b67a68	2	amd64 / Linux / 5.4.0-1024-gcp
h2_emb	H2 Database Engine	embedded	10	2020-09-29 03:17:27.167779581	2020-09-29 03:17:37.190741672	travis-job-da5d53ac-4753-40f1-80ff-95da07b67a68	2	amd64 / Linux / 5.4.0-1024-gcp
hsqldb_emb	HyperSQL Database	embedded	26	2020-09-29 03:17:37.884324100	2020-09-29 03:18:04.048914324	travis-job-da5d53ac-4753-40f1-80ff-95da07b67a68	2	amd64 / Linux / 5.4.0-1024-gcp
sqlite	SQLite	embedded	7	2020-09-29 03:18:04.785670299	2020-09-29 03:18:12.291835402	travis-job-da5d53ac-4753-40f1-80ff-95da07b67a68	2	amd64 / Linux / 5.4.0-1024-gcp
