ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
derby_emb	derby	Apache Derby [embedded]	22	2020-08-12 02:43:21.789067000	2020-08-12 02:43:43.870848000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	h2	H2 Database Engine [embedded]	9	2020-08-12 02:43:44.491657000	2020-08-12 02:43:54.287367000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	h2	H2 Database Engine [embedded]	10	2020-08-12 02:43:54.755592000	2020-08-12 02:44:05.375492000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	hsqldb	HyperSQL Database [embedded]	22	2020-08-12 02:44:06.034526000	2020-08-12 02:44:28.938361000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	hsqldb	HyperSQL Database [embedded]	22	2020-08-12 02:44:29.466841000	2020-08-12 02:44:52.297644000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
sqlite	sqlite	SQLite	6	2020-08-12 02:44:52.971864000	2020-08-12 02:44:59.917750000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
sqlite	sqlite	SQLite	6	2020-08-12 02:45:00.412248000	2020-08-12 02:45:07.221545000	travis-job-ca5e663d-1252-4a60-b8a1-ae8fd632ad23	2	amd64 / Linux / 5.3.0-1029-gcp
