ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
agens	AgensGraph	v3.0.5	bash	client	active	company	4548	2021-12-14 16:21:52.916825191	2021-12-14 16:21:57.465233410	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
cockroach	CockroachDB	v3.0.5	bash	client	active - no choice	company	8335	2021-12-14 16:22:37.355194958	2021-12-14 16:22:45.690748696	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
cratedb	CrateDB	v3.0.5	bash	client	active - no choice	company	6012	2021-12-14 16:23:33.227551097	2021-12-14 16:23:39.240245119	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
cubrid	CUBRID	v3.0.5	bash	client	active	company	8053	2021-12-14 16:24:20.305076668	2021-12-14 16:24:28.358937422	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
derby	Apache Derby	v3.0.5	bash	client	active	company	6158	2021-12-14 16:25:22.664911896	2021-12-14 16:25:28.823442094	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
derby_emb	Apache Derby	v3.0.5	bash	embedded	active	company	5764	2021-12-14 16:25:29.406273688	2021-12-14 16:25:35.170874153	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
exasol	Exasol	v3.0.5	bash	client	active	company	3771	2021-12-14 16:29:25.671452111	2021-12-14 16:29:29.443264340	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
firebird	Firebird	v3.0.5	bash	client	active	company	18823	2021-12-14 16:30:19.988837254	2021-12-14 16:30:38.812579323	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
h2	H2 Database Engine	v3.0.5	bash	client	active - no choice	company	4531	2021-12-14 16:31:14.030998508	2021-12-14 16:31:18.562606849	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
h2_emb	H2 Database Engine	v3.0.5	bash	embedded	active - no choice	company	2275	2021-12-14 16:31:19.159433929	2021-12-14 16:31:21.435122212	ubuntu	8	amd64 / Linux / 5.11.0-41-generic	db_seeder_bash_complete_company_3.0.5_vmware
